subject	block	trial	trigger	word	priming	dur	ia
A0110	2	678	2	0	0	-1	target
A0110	2	679	10	1	0	385	target
A0110	2	680	2	0	0	-1	target
A0110	2	681	2	0	0	-1	target
A0110	2	682	2	0	0	-1	target
A0110	2	683	10	1	0	-1	target
A0110	2	684	2	0	0	-1	target
A0110	2	685	2	0	0	526	target
A0110	2	686	6	0	1	328	target
A0110	2	687	10	1	0	-1	target
A0110	2	688	10	1	0	-1	target
A0110	2	689	10	1	0	385	target
A0110	2	690	6	0	1	363	target
A0110	2	691	10	1	0	-1	target
A0110	2	692	2	0	0	334	target
A0110	2	693	10	1	0	-1	target
A0110	2	694	2	0	0	-1	target
A0110	2	695	10	1	0	-1	target
A0110	2	696	6	0	1	337	target
A0110	2	697	2	0	0	-1	target
A0110	2	698	10	1	0	-1	target
A0110	2	699	6	0	1	327	target
A0110	2	700	2	0	0	326	target
A0110	2	701	10	1	0	-1	target
A0110	2	702	2	0	0	-1	target
A0110	2	703	10	1	0	-1	target
A0110	2	704	2	0	0	-1	target
A0110	2	705	2	0	0	323	target
A0110	2	706	6	0	1	468	target
A0110	2	707	10	1	0	-1	target
A0110	2	708	10	1	0	-1	target
A0110	2	709	6	0	1	303	target
A0110	2	710	2	0	0	-1	target
A0110	2	711	6	0	1	340	target
A0110	2	712	10	1	0	330	target
A0110	2	713	2	0	0	-1	target
A0110	2	714	10	1	0	-1	target
A0110	2	715	6	0	1	331	target
A0110	2	716	2	0	0	-1	target
A0110	2	717	10	1	0	-1	target
A0110	2	718	10	1	0	-1	target
A0110	2	719	6	0	1	443	target
subject	block	trial	trigger	word	priming	dur	ia
A0123	1	240	9	1	0	-1	prime
A0123	1	241	1	0	0	759	prime
A0123	1	242	1	0	0	583	prime
A0123	1	243	1	0	0	617	prime
A0123	1	244	9	1	0	734	prime
A0123	1	245	9	1	0	823	prime
A0123	1	246	9	1	0	-1	prime
A0123	1	247	5	0	1	836	prime
A0123	1	248	1	0	0	708	prime
A0123	1	249	5	0	1	455	prime
A0123	1	250	5	0	1	607	prime
A0123	1	251	1	0	0	513	prime
A0123	1	252	9	1	0	-1	prime
A0123	1	253	1	0	0	1333	prime
A0123	1	254	9	1	0	719	prime
A0123	1	255	1	0	0	649	prime
A0123	1	256	1	0	0	530	prime
A0123	1	257	1	0	0	6	prime
A0123	1	258	1	0	0	515	prime
A0123	1	259	1	0	0	604	prime
A0123	1	260	5	0	1	514	prime
A0123	1	261	9	1	0	-1	prime
A0123	1	262	1	0	0	564	prime
A0123	1	263	5	0	1	789	prime
A0123	1	264	1	0	0	552	prime
A0123	1	265	1	0	0	568	prime
A0123	1	266	1	0	0	316	prime
A0123	1	267	1	0	0	824	prime
A0123	1	268	1	0	0	901	prime
A0123	1	269	9	1	0	-1	prime
A0123	1	270	9	1	0	-1	prime
A0123	1	271	1	0	0	847	prime
A0123	1	272	1	0	0	670	prime
A0123	1	273	1	0	0	537	prime
A0123	1	274	9	1	0	845	prime
A0123	1	275	9	1	0	695	prime
A0123	1	276	1	0	0	553	prime
A0123	1	277	5	0	1	570	prime
A0123	1	278	1	0	0	492	prime
A0123	1	279	9	1	0	-1	prime
A0123	1	280	1	0	0	1411	prime
A0123	1	281	5	0	1	1216	prime
A0123	1	282	1	0	0	748	prime
A0123	1	283	1	0	0	621	prime
A0123	1	284	1	0	0	323	prime
A0123	1	285	1	0	0	542	prime
A0123	1	286	1	0	0	640	prime
A0123	1	287	1	0	0	452	prime
A0123	1	288	9	1	0	497	prime
A0123	1	289	1	0	0	795	prime
A0123	1	290	1	0	0	971	prime
A0123	1	291	1	0	0	441	prime
A0123	1	292	1	0	0	474	prime
A0123	1	293	1	0	0	701	prime
A0123	1	294	1	0	0	483	prime
A0123	1	295	1	0	0	412	prime
A0123	1	296	1	0	0	637	prime
A0123	1	297	1	0	0	1146	prime
A0123	1	298	9	1	0	544	prime
A0123	1	299	5	0	1	1003	prime
A0123	1	300	9	1	0	-1	prime
A0123	1	301	9	1	0	-1	prime
A0123	1	302	5	0	1	976	prime
A0123	1	303	1	0	0	667	prime
A0123	1	304	5	0	1	529	prime
A0123	1	305	1	0	0	755	prime
A0123	1	306	1	0	0	768	prime
A0123	1	307	5	0	1	492	prime
A0123	1	308	1	0	0	706	prime
A0123	1	309	5	0	1	418	prime
A0123	1	310	5	0	1	509	prime
A0123	1	311	1	0	0	608	prime
A0123	1	312	1	0	0	694	prime
A0123	1	313	5	0	1	621	prime
A0123	1	314	1	0	0	622	prime
A0123	1	315	1	0	0	830	prime
A0123	1	316	9	1	0	-1	prime
A0123	1	317	1	0	0	444	prime
A0123	1	318	1	0	0	412	prime
A0123	1	319	9	1	0	431	prime
A0123	1	320	1	0	0	1025	prime
A0123	1	321	9	1	0	1123	prime
A0123	1	322	1	0	0	613	prime
A0123	1	323	1	0	0	518	prime
A0123	1	324	5	0	1	985	prime
A0123	1	325	9	1	0	546	prime
A0123	1	326	1	0	0	531	prime
A0123	1	327	1	0	0	588	prime
A0123	1	328	1	0	0	473	prime
A0123	1	329	1	0	0	1340	prime
A0123	1	330	5	0	1	563	prime
A0123	1	331	9	1	0	-1	prime
A0123	1	332	1	0	0	757	prime
A0123	1	333	1	0	0	2032	prime
A0123	1	334	5	0	1	558	prime
A0123	1	335	1	0	0	887	prime
A0123	1	336	5	0	1	457	prime
A0123	1	337	1	0	0	557	prime
A0123	1	338	1	0	0	986	prime
A0123	1	339	5	0	1	989	prime
A0123	1	340	1	0	0	727	prime
A0123	1	341	9	1	0	-1	prime
A0123	1	342	1	0	0	453	prime
A0123	1	343	1	0	0	469	prime
A0123	1	344	1	0	0	487	prime
A0123	1	345	9	1	0	663	prime
A0123	1	346	1	0	0	407	prime
A0123	1	347	9	1	0	651	prime
A0123	1	348	1	0	0	868	prime
A0123	1	349	5	0	1	748	prime
A0123	1	350	1	0	0	533	prime
A0123	1	351	1	0	0	-1	prime
A0123	1	352	1	0	0	1033	prime
A0123	1	353	1	0	0	811	prime
A0123	1	354	1	0	0	600	prime
A0123	1	355	5	0	1	501	prime
A0123	1	356	1	0	0	468	prime
A0123	1	357	9	1	0	509	prime
A0123	1	358	1	0	0	1262	prime
A0123	1	359	9	1	0	512	prime
A0123	1	360	5	0	1	697	prime
A0123	1	361	1	0	0	632	prime
A0123	1	362	9	1	0	-1	prime
A0123	1	363	5	0	1	2980	prime
A0123	1	364	5	0	1	713	prime
A0123	1	365	9	1	0	484	prime
A0123	1	366	1	0	0	1246	prime
A0123	1	367	1	0	0	438	prime
A0123	1	368	9	1	0	-1	prime
A0123	1	369	1	0	0	844	prime
A0123	1	370	1	0	0	1980	prime
A0123	1	371	5	0	1	500	prime
A0123	1	372	1	0	0	630	prime
A0123	1	373	5	0	1	601	prime
A0123	1	374	1	0	0	502	prime
A0123	1	375	9	1	0	-1	prime
A0123	1	376	1	0	0	1219	prime
A0123	1	377	5	0	1	929	prime
A0123	1	378	1	0	0	1024	prime
A0123	1	379	1	0	0	417	prime
A0123	1	380	1	0	0	472	prime
A0123	1	381	1	0	0	756	prime
A0123	1	382	1	0	0	1087	prime
A0123	1	383	1	0	0	338	prime
A0123	1	384	5	0	1	351	prime
A0123	1	385	9	1	0	674	prime
A0123	1	386	9	1	0	-1	prime
A0123	1	387	1	0	0	1045	prime
A0123	1	388	5	0	1	728	prime
A0123	1	389	1	0	0	849	prime
A0123	1	390	5	0	1	1763	prime
A0123	1	391	5	0	1	535	prime
A0123	1	392	1	0	0	1948	prime
A0123	1	393	9	1	0	-1	prime
A0123	1	394	1	0	0	-2	prime
A0123	1	395	5	0	1	425	prime
A0123	1	396	1	0	0	617	prime
A0123	1	397	9	1	0	-1	prime
A0123	1	398	9	1	0	-1	prime
A0123	1	399	5	0	1	663	prime
A0123	1	400	9	1	0	590	prime
A0123	1	401	9	1	0	-1	prime
A0123	1	402	1	0	0	395	prime
A0123	1	403	1	0	0	408	prime
A0123	1	404	9	1	0	735	prime
A0123	1	405	5	0	1	1110	prime
A0123	1	406	1	0	0	568	prime
A0123	1	407	1	0	0	577	prime
A0123	1	408	1	0	0	879	prime
A0123	1	409	1	0	0	370	prime
A0123	1	410	1	0	0	415	prime
